time_s,trolley_x_m,support_down_m,payload_x_m,payload_down_m,chord_angle_rad,material_length_m,arc_length_m,min_axial_force_N,ale_generalized_force_norm
0,0,0.041202,0.104933754508567,2.04345731293448,0.0523598775598299,2,2.0050031,49.0629852169322,0
0.02,2.6598027454694e-05,0.041201254589469,0.104831082103326,2.0434601958523,0.0522953971774698,2,2.00499998262787,49.0325739579989,0
0.04,0.000105974060531824,0.0411985919517253,0.104523181837405,2.04347111009162,0.052102151374273,2,2.00499344416911,48.9690749534111,0
0.06,0.000237509153673609,0.0411932290618429,0.10401029474802,2.04349482002925,0.0517804230191453,2,2.00498921784107,48.9262395839551,0
0.08,0.000420635914425141,0.0411851335379849,0.10329263098888,2.04353442772925,0.0513305194512602,2,2.00499062175479,48.9395099262646,0
0.1,0.000654879714944356,0.041175600018799,0.102370129241463,2.04358896535543,0.0507527078599844,2,2.00499557553061,48.9887207600814,0
0.12,0.000939869082903335,0.0411666903776685,0.101245117713761,2.04365473733388,0.0500484808947605,2,2.00499892801109,49.0235183894372,0
0.14,0.0012752854571493,0.0411600486440166,0.0999218598810137,2.04372909308202,0.0492202256022642,2,2.00499734175972,49.0070316467728,0
0.16,0.00166084296484074,0.041156122498254,0.0984049290596796,2.04381295795314,0.0482703446532887,2,2.00499223359829,48.9558166632431,0
0.18,0.0020963680895758,0.0411544011775515,0.0966990206692973,2.04390980713542,0.0472011635600287,2,2.00498850057373,48.919294762948,0
0.2,0.00258150659668824,0.0411543989248362,0.0948086196136936,2.04402211772994,0.0460150261541978,2,2.00499002556406,48.9353873240317,0
0.22,0.00311538479949161,0.0411564274295118,0.0927380814419382,2.04414852147306,0.0447145840386603,2,2.00499625873718,48.9963220561718,0
0.24,0.00369711672746464,0.0411614060423044,0.0904914657834572,2.04428422587457,0.043302433595834,2,2.00500260131757,49.0581146945024,0
0.26,0.00432596295841063,0.0411699012548848,0.0880729007924701,2.04442433972208,0.0417811134162709,2,2.00500464997474,49.0785216506628,0
0.28,0.00500133557571962,0.0411812798594652,0.0854865623779154,2.04456707623087,0.0401530088796812,2,2.00500226707003,49.0560099507986,0
0.3,0.00572275149600558,0.0411938014723354,0.082739384484096,2.04471372586011,0.0384217447606452,2,2.00499986395587,49.0317344022406,0
0.32,0.00648994517747534,0.0412056415088887,0.0798399163334702,2.04486553137891,0.0365916547559018,2,2.00500209234819,49.0525575972223,0
0.34,0.00730276894205186,0.0412159394435657,0.0767965182258677,2.04502041119048,0.0346670090826648,2,2.00500916699134,49.122909067969,0
0.36,0.00816142250755654,0.0412248997452382,0.0736172935142265,2.0451727996947,0.0326518506664866,2,2.00501663787537,49.1973465252871,0
0.38,0.00906584390390228,0.0412329542558483,0.0703101921296052,2.04531688092556,0.0305502642518681,2,2.00501952458918,49.2255683003551,0
0.4,0.0100154677925254,0.0412398184376548,0.0668829988926407,2.04545019250169,0.0283664220702387,2,2.00501705859878,49.1998791390902,0
0.42,0.0110097653127822,0.0412443835034744,0.0633437272149127,2.04557419014121,0.0261045231163479,2,2.00501312254134,49.1616077755097,0
0.44,0.0120483456954516,0.041245564054862,0.059699885980971,2.04569145008446,0.0237684473667537,2,2.00501253132965,49.1561090021797,0
0.46,0.0131310659513364,0.0412432869348479,0.0559591757997039,2.04580214947695,0.0213621040175486,2,2.00501658286859,49.1965723316712,0
0.48,0.0142579695062544,0.0412387104918705,0.05213176609186,2.04590304847583,0.0188905896201835,2,2.00502217592478,49.2507765614469,0
0.5,0.0154292712467971,0.0412334931000877,0.048228849719275,2.04598980971871,0.016359420888652,2,2.0050246310713,49.2757933664478,0
0.52,0.0166452956795949,0.0412287440300171,0.0442617657114235,2.04606043111218,0.013774085711061,2,2.00502192020149,49.2494655980069,0
0.54,0.0179066065413535,0.0412245486338094,0.0402413176926748,2.04611671944863,0.0111396451231048,2,2.00501663133541,49.1970584428802,0
0.56,0.0192133936596954,0.0412204655678007,0.0361781437597231,2.04616239147771,0.00846126515006171,2,2.00501371614805,49.1668292522229,0
0.58,0.0205654266817422,0.0412164827564307,0.0320822960782704,2.04619946019687,0.0057440601054642,2,2.00501608136233,49.190752800663,0
0.6,0.0219624471878148,0.0412135141072832,0.0279638577690688,2.04622612707458,0.00299319446660378,2,2.0050217070101,49.2471051425358,0
