time_s,trolley_x_m,support_down_m,payload_x_m,payload_down_m,swing_rad,natural_length_m,actual_length_m,extension_m,tension_N,energy_error_J
0,0,0.040875,0.174738984413494,2.03815073117763,0.0872664625997164,2,2.004905,0.00490499999999994,49.0499999999994,0
0.01,1.06856233296529e-05,0.0408745217425936,0.17469624193568,2.03815265841071,0.0872398107116592,2,2.0049027404831,0.00490274048309747,49.0208046171475,-4.58939706438417e-10
0.02,4.27246156271351e-05,0.0408729818077138,0.174568086446971,2.0381589598442,0.087159872186704,2,2.00489660082098,0.00489660082097787,48.9545955996564,-4.58912654348161e-10
0.03,9.60698716464867e-05,0.0408701237757465,0.174354708692183,2.0381709194274,0.0870266974798663,2,2.00488816184701,0.00488816184701424,48.8682399159817,-4.58945948744958e-10
0.04,0.000170653670809573,0.0408656377163849,0.174056385590583,2.03819021138977,0.0868403708810765,2,2.00487947277756,0.00487947277756007,48.7825514812671,-4.58766140372486e-10
0.05,0.00026639711754393,0.040859270642549,0.173673444319555,2.03821849441813,0.0866010109441677,2,2.00487253281118,0.00487253281117939,48.7170593352093,-4.58983672881076e-10
0.06,0.000383218965146356,0.0408509275022984,0.173206228850669,2.03825703046275,0.0863087707034179,2,2.00486880690223,0.00486880690222868,48.6853123501295,-4.59325149225585e-10
0.07,0.000521041814753322,0.0408407371487196,0.172655076966839,2.03830641991327,0.085963837394759,2,2.00486889343912,0.00486889343911612,48.691853728501,-4.5942209390421e-10
0.08,0.000679794415808501,0.0408290672424719,0.172020312850903,2.03836651221925,0.0855664315857961,2,2.00487241921823,0.00487241921822745,48.7315398842751,-4.59285936916953e-10
0.09,0.000859409829399445,0.0408164850741752,0.171302256195526,2.0384365054686,0.0851168057809479,2,2.00487817828366,0.00487817828366222,48.7912756882929,-4.59200927143684e-10
0.1,0.00105982026598608,0.040803674625191,0.170501244584044,2.03851520124505,0.0846152427111739,2,2.00488447045329,0.00488447045329021,48.8536398324174,-4.58430397961081e-10
0.11,0.00128095020297431,0.0407913304617267,0.169617662715998,2.03860134417928,0.0840620536008866,2,2.00488954800254,0.00488954800254238,48.9014302385381,-4.58381448934181e-10
0.12,0.00152270973778587,0.0407800538785068,0.168651970650803,2.03869395762869,0.0834575767044737,2,2.00489205610966,0.00489205610965726,48.9219726987458,-4.58935011072461e-10
0.13,0.00178498997534443,0.0407702751695717,0.167604723869427,2.03879259133581,0.0828021763235848,2,2.00489135866435,0.00489135866435131,48.910139355513,-4.59903314372213e-10
0.14,0.00206766164283006,0.0407622185287287,0.166476580378841,2.03889742209563,0.082096242377249,2,2.00488767373469,0.00488767373468768,48.8693847118283,-4.60573625306251e-10
0.15,0.00237057725178378,0.0407559150252621,0.165268293574937,2.03900918702784,0.0813401904414926,2,2.00488199279965,0.00488199279965107,48.8106218398229,-4.60696075851776e-10
0.16,0.00269357621775795,0.0407512571600956,0.163980693219329,2.0391289711956,0.0805344620471574,2,2.00487581213013,0.00487581213013222,48.7493003256028,-4.62115623734881e-10
0.17,0.00303649163335301,0.0407480786702028,0.162614659742922,2.03925790647143,0.0796795249599484,2,2.00487074983783,0.00487074983782732,48.7014759697224,-4.62849873133901e-10
0.18,0.00339915704435723,0.0407462378837268,0.161171098474037,2.03939685821131,0.078775873182802,2,2.0048681471953,0.00486814719530093,48.6798776959375,-4.62666820084728e-10
0.19,0.00378141166088374,0.0407456830796915,0.159650920059876,2.03954617658068,0.0778240265118626,2,2.00486875292832,0.00486875292831845,48.6909393052204,-4.61443321650001e-10
0.2,0.00418310291096166,0.0407464838323593,0.15805503144836,2.03970557053282,0.0768245296165445,2,2.00487256470185,0.00487256470184727,48.7334864322574,-4.59601048327174e-10
0.21,0.00460408596256131,0.0407488215392595,0.156384338923333,2.03987413024633,0.0757779507619435,2,2.00487886045565,0.00487886045565444,48.799335029949,-4.58463210483481e-10
0.22,0.00504422061083157,0.0407529428790749,0.154639761603073,2.04005048652401,0.0746848804058737,2,2.00488640424076,0.00488640424075504,48.8755772517024,-4.53078939437971e-10
0.23,0.00550336655213026,0.040759089159356,0.152822251312925,2.04023306264484,0.0735459299514657,2,2.00489376886981,0.00489376886981274,48.9479242486172,-4.49216180909134e-10
0.24,0.00598137839335104,0.0407674201253416,0.150932813435687,2.04042035357118,0.0723617309058422,2,2.00489969144578,0.00489969144577662,49.0042424353195,-4.49667744662971e-10
0.25,0.00647810171791317,0.0407779516844395,0.148972523451651,2.04061116338924,0.0711329345946363,2,2.00490337294913,0.00490337294912546,49.0374051463729,-4.52566093216318e-10
0.26,0.00699337116812188,0.0407905229776931,0.146942535327325,2.04080474524031,0.0698602124396185,2,2.00490465055115,0.00490465055114564,49.0467869513939,-4.58889693171621e-10
0.27,0.00752701092767319,0.0408048005850163,0.144844080215769,2.04100081442931,0.0685442566606211,2,2.00490400551161,0.00490400551160786,49.0380889113495,-4.61700477654391e-10
0.28,0.00807883735574976,0.0408203183852908,0.142678456460879,2.04119943791157,0.0671857811544141,2,2.00490241141557,0.00490241141557446,49.0216058063824,-4.63944652227127e-10
0.29,0.0086486629963749,0.0408365429948026,0.140447014009351,2.04140083390018,0.0657855222601276,2,2.0049010667301,0.0049010667300986,49.0094265427127,-4.75488564971246e-10
0.3,0.00923630089508866,0.0408529489493241,0.138151137500623,2.04160513616357,0.0643442391547875,2,2.00490108228301,0.00490108228301489,49.0123009385299,-4.76071492557656e-10
0.31,0.0098415681531878,0.0408690861227741,0.135792232312706,2.04181218415501,0.0628627137240144,2,2.00490320249259,0.00490320249259124,49.0369584994979,-4.73278634598867e-10
0.32,0.0104642879159401,0.0408846244884475,0.133371716777116,2.04202139151959,0.0613417498923531,2,2.00490762790536,0.00490762790536126,49.0845239166517,-4.63811288637858e-10
0.33,0.0111042894465861,0.0408993675771807,0.130891021955022,2.04223172395791,0.0597821725387548,2,2.00491397869871,0.00491397869870713,49.150375743025,-4.58558756938343e-10
0.34,0.0117614064407934,0.0409132339594542,0.128351598355269,2.04244178945289,0.0581848262262704,2,2.00492140277525,0.00492140277525088,49.2254281050857,-4.57364958406092e-10
0.35,0.0124354741673426,0.0409262139759077,0.125754927250877,2.04265001586112,0.0565505740147391,2,2.00492879611246,0.00492879611245556,49.2984635985501,-4.43735238223747e-10
0.36,0.0131263262652245,0.0409383146299827,0.123102533273186,2.04285487038595,0.0548802965913081,2,2.00493507683358,0.00493507683358319,49.358903047854,-4.40362089241392e-10
0.37,0.0138337920431478,0.0409495078328723,0.120395994899605,2.04305506688836,0.0531748918559311,2,2.00493944364375,0.0049394436437451,49.3993153952844,-4.44331564597444e-10
0.38,0.0145576949304313,0.0409596956692313,0.117636950239532,2.04324971180716,0.0514352749663022,2,2.0049415556571,0.00494155565710042,49.4170604495438,-4.58515872839294e-10
0.39,0.0152978523779267,0.0409687014080666,0.114827096924309,2.04343835655451,0.0496623787138445,2,2.00494159274087,0.00494159274087336,49.4146972376053,-4.65529269647047e-10
0.4,0.0160540771164258,0.040976288159813,0.111968186472108,2.04362094820832,0.0478571540057633,2,2.00494018633831,0.00494018633831361,49.3991071379038,-4.67635243028841e-10
0.41,0.0168261793436293,0.0409821999818803,0.109062014844424,2.04379769556584,0.0460205701932651,2,2.00493824311417,0.00493824311417468,49.3796003446283,-4.82971964504975e-10
0.42,0.0176139692166507,0.0409862147298872,0.106110411687572,2.04396888749731,0.0441536150205611,2,2.00493670915981,0.00493670915980537,49.3655127470656,-4.88737428999686e-10
0.43,0.0184172590104995,0.0409881953046907,0.103115230818439,2.04413471049326,0.0422572940636478,2,2.0049363350841,0.00493633508410163,49.363904172452,-4.85921983206516e-10
0.44,0.0192358644493145,0.0409881266219844,0.100078343929392,2.04429511055116,0.0403326296569415,2,2.00493749986075,0.00493749986075276,49.3779212909578,-4.73125438132938e-10
0.45,0.0200696049801679,0.040986129498554,0.0970016384346543,2.04444973143577,0.0383806594328267,2,2.00494013428298,0.00494013428298468,49.4061999289008,-4.62530626646473e-10
0.46,0.0209183030515712,0.0409824484592424,0.0938870192115872,2.04459794115891,0.0364024346936963,2,2.00494375884317,0.00494375884316645,49.4434119144856,-4.59277456343887e-10
0.47,0.0217817827068532,0.0409774168513882,0.0907364129984314,2.04473893606001,0.0343990188716437,2,2.00494762198415,0.00494762198415,49.4817745121139,-4.47062650787977e-10
0.48,0.0226598679415054,0.0409714079369285,0.0875517736546587,2.04487189303117,0.0323714863015418,2,2.00495090054296,0.00495090054295622,49.5131110611268,-4.37935314748228e-10
0.49,0.0235523812788671,0.040964783578521,0.0843350864685827,2.04499612965827,0.0303209214462182,2,2.00495291049949,0.00495291049949254,49.530932924638,-4.40538317630912e-10
0.5,0.0244591429039334,0.0409578521849193,0.0810883701562887,2.04511123146036,0.028248418593476,2,2.00495327552548,0.00495327552548464,49.5320272408902,-4.49605096208838e-10
0.51,0.0253799704999427,0.0409508447159593,0.0778136759760001,2.04521711513508,0.0261550819250405,2,2.00495201344315,0.00495201344314999,49.5171785307493,-4.57602847975247e-10
0.52,0.0263146797218639,0.0409439127069184,0.0745130842244186,2.04531401358261,0.0240420257677909,2,2.00494952242719,0.00494952242719071,49.4908794767495,-4.60517787098658e-10
0.53,0.0272630850714226,0.0409371466547816,0.0711886990597837,2.045402388292,0.0219103748012761,2,2.0049464742222,0.00494647422219874,49.4601411606395,-4.70803420554722e-10
0.54,0.0282250008535618,0.0409306081632831,0.0678426429355943,2.04548279231908,0.0197612640193069,2,2.0049436442374,0.00494364423739713,49.4327301976745,-4.8555341344847e-10
0.55,0.0292002419084326,0.0409243661604819,0.0644770518718894,2.04555571829722,0.0175958383195331,2,2.00494172266696,0.00494172266696413,49.4152876302749,-4.86727051024483e-10
0.56,0.0301886239106944,0.0409185269310236,0.0610940724008402,2.04562146833734,0.0154152517027105,2,2.00494115375726,0.00494115375726434,49.4117960573136,-4.80638424893431e-10
0.57,0.0311899631740394,0.0409132497285578,0.0576958604388551,2.04568007586927,0.0132206661715032,2,2.00494204150248,0.00494204150247679,49.4227568124064,-4.70868104923694e-10
